#latency,cnt,cdf
423710,1,0.999795
423720,1,0.999796
423880,1,0.999796
424160,1,0.999796
424220,1,0.999797
424280,1,0.999797
424300,2,0.999798
424320,1,0.999798
424350,1,0.999798
424440,1,0.999798
424490,1,0.999799
424530,2,0.999799
424580,1,0.9998
424640,1,0.9998
424780,1,0.9998
424810,1,0.999801
424950,1,0.999801
424970,1,0.999801
425010,1,0.999802
425050,1,0.999802
425120,1,0.999802
425450,1,0.999802
425640,1,0.999803
425680,1,0.999803
425690,1,0.999803
425860,1,0.999804
425990,1,0.999804
426000,1,0.999804
426090,1,0.999805
426130,1,0.999805
426180,1,0.999805
426190,1,0.999806
426210,1,0.999806
426310,1,0.999806
426370,1,0.999806
426380,1,0.999807
426390,1,0.999807
426400,1,0.999807
426410,1,0.999808
426660,1,0.999808
426770,1,0.999808
426920,1,0.999809
426940,1,0.999809
426950,1,0.999809
427000,1,0.999809
427030,1,0.99981
427070,1,0.99981
427230,1,0.99981
427260,1,0.999811
427400,1,0.999811
427450,1,0.999811
427460,1,0.999812
427500,1,0.999812
427510,1,0.999812
427540,1,0.999812
427600,1,0.999813
427610,1,0.999813
427660,1,0.999813
427680,1,0.999814
427690,1,0.999814
427730,1,0.999814
427790,1,0.999815
427800,1,0.999815
427840,1,0.999815
427850,1,0.999816
427870,1,0.999816
427890,1,0.999816
427910,1,0.999816
427980,1,0.999817
428010,1,0.999817
428030,2,0.999818
428050,1,0.999818
428100,2,0.999819
428170,1,0.999819
428190,1,0.999819
428230,1,0.99982
428250,2,0.99982
428320,2,0.999821
428340,1,0.999821
428350,2,0.999822
428390,2,0.999822
428430,1,0.999823
428480,1,0.999823
428490,1,0.999823
428560,1,0.999823
428590,1,0.999824
428600,1,0.999824
428660,2,0.999825
428750,1,0.999825
428810,1,0.999825
428830,1,0.999826
428850,1,0.999826
428870,1,0.999826
428880,1,0.999826
428890,2,0.999827
428900,1,0.999827
428930,1,0.999828
428940,1,0.999828
429050,1,0.999828
429070,1,0.999829
429100,1,0.999829
429110,1,0.999829
429170,1,0.99983
429210,1,0.99983
429250,1,0.99983
429260,1,0.99983
429400,1,0.999831
429420,1,0.999831
429450,1,0.999831
429460,1,0.999832
429520,1,0.999832
429710,1,0.999832
429860,1,0.999833
429950,1,0.999833
430270,1,0.999833
430290,1,0.999834
430310,1,0.999834
430320,1,0.999834
430360,1,0.999834
430420,1,0.999835
430470,1,0.999835
430530,1,0.999835
430540,1,0.999836
430610,1,0.999836
430620,1,0.999836
430630,1,0.999837
430700,1,0.999837
430730,3,0.999838
430740,1,0.999838
430770,1,0.999838
430860,1,0.999839
430930,1,0.999839
430950,1,0.999839
430990,1,0.99984
431100,1,0.99984
431140,1,0.99984
431150,1,0.99984
431220,1,0.999841
431230,1,0.999841
431270,1,0.999841
431310,1,0.999842
431340,1,0.999842
431360,1,0.999842
431440,1,0.999843
431470,1,0.999843
431500,1,0.999843
431570,1,0.999844
431690,1,0.999844
431710,1,0.999844
431740,1,0.999844
431750,1,0.999845
431780,1,0.999845
431800,2,0.999846
431810,1,0.999846
431850,1,0.999846
431910,1,0.999847
431940,1,0.999847
431950,2,0.999847
431980,1,0.999848
432010,1,0.999848
432020,1,0.999848
432070,1,0.999849
432140,1,0.999849
432170,1,0.999849
432190,1,0.99985
432210,1,0.99985
432240,2,0.999851
432260,1,0.999851
432280,2,0.999851
432290,2,0.999852
432300,1,0.999852
432330,1,0.999853
432340,1,0.999853
432370,1,0.999853
432380,1,0.999854
432400,1,0.999854
432410,1,0.999854
432420,1,0.999855
432430,1,0.999855
432440,1,0.999855
432460,1,0.999855
432490,1,0.999856
432500,1,0.999856
432510,1,0.999856
432530,1,0.999857
432590,1,0.999857
432630,2,0.999858
432640,1,0.999858
432660,1,0.999858
432680,1,0.999858
432710,1,0.999859
432740,2,0.999859
432750,1,0.99986
432770,1,0.99986
432840,2,0.999861
432880,1,0.999861
432940,1,0.999861
432990,1,0.999861
433010,1,0.999862
433030,1,0.999862
433040,2,0.999863
433050,1,0.999863
433090,1,0.999863
433100,1,0.999864
433130,1,0.999864
433160,1,0.999864
433170,1,0.999865
433180,1,0.999865
433220,1,0.999865
433250,1,0.999865
433290,1,0.999866
433300,1,0.999866
433310,1,0.999866
433330,1,0.999867
433360,1,0.999867
433370,2,0.999868
433380,2,0.999868
433400,1,0.999869
433420,1,0.999869
433440,1,0.999869
433450,1,0.999869
433460,2,0.99987
433510,1,0.99987
433520,1,0.999871
433570,2,0.999871
433580,1,0.999872
433620,1,0.999872
433630,1,0.999872
433640,2,0.999873
433650,1,0.999873
433720,1,0.999873
433730,1,0.999874
433740,1,0.999874
433790,1,0.999874
433810,2,0.999875
433820,2,0.999875
433900,2,0.999876
433910,1,0.999876
433930,1,0.999877
433970,1,0.999877
434000,2,0.999878
434040,1,0.999878
434050,1,0.999878
434060,2,0.999879
434080,1,0.999879
434110,1,0.999879
434150,1,0.99988
434160,1,0.99988
434170,1,0.99988
434180,1,0.999881
434190,1,0.999881
434210,1,0.999881
434270,1,0.999882
434350,1,0.999882
434410,1,0.999882
434450,1,0.999883
434490,1,0.999883
434500,2,0.999883
434530,1,0.999884
434550,1,0.999884
434640,1,0.999884
434670,1,0.999885
434680,1,0.999885
434740,1,0.999885
434750,1,0.999886
434770,1,0.999886
434790,1,0.999886
434800,1,0.999886
434890,1,0.999887
434910,1,0.999887
434940,2,0.999888
434950,1,0.999888
434980,2,0.999889
435030,1,0.999889
435040,1,0.999889
435090,2,0.99989
435130,1,0.99989
435150,1,0.99989
435210,3,0.999891
435320,1,0.999892
435400,1,0.999892
435530,1,0.999892
435550,1,0.999893
435630,1,0.999893
435710,1,0.999893
435720,3,0.999894
435820,1,0.999894
435830,1,0.999895
435850,1,0.999895
435890,3,0.999896
435980,1,0.999896
436090,3,0.999897
436100,1,0.999897
436110,1,0.999898
436170,1,0.999898
436250,1,0.999898
436280,2,0.999899
436290,1,0.999899
436320,1,0.9999
436330,2,0.9999
436450,1,0.9999
436510,1,0.999901
436550,1,0.999901
436610,2,0.999902
436690,2,0.999902
436710,1,0.999903
436970,1,0.999903
437050,1,0.999903
437120,1,0.999904
437140,2,0.999904
437210,1,0.999904
437230,1,0.999905
437300,1,0.999905
437310,1,0.999905
437370,1,0.999906
437380,1,0.999906
437420,1,0.999906
437520,1,0.999907
437540,1,0.999907
437610,2,0.999907
437730,1,0.999908
437790,1,0.999908
437810,1,0.999908
437830,1,0.999909
437860,1,0.999909
437880,1,0.999909
437990,1,0.99991
438010,1,0.99991
438030,1,0.99991
438040,1,0.999911
438100,1,0.999911
438140,1,0.999911
438180,1,0.999911
438190,1,0.999912
438240,1,0.999912
438360,1,0.999912
438390,1,0.999913
438400,1,0.999913
438470,1,0.999913
438530,1,0.999914
438540,1,0.999914
438550,1,0.999914
438560,2,0.999915
438660,2,0.999915
438670,1,0.999916
438690,1,0.999916
438770,3,0.999917
438800,1,0.999917
438820,2,0.999918
438890,1,0.999918
438920,1,0.999918
438940,1,0.999919
438960,1,0.999919
439000,1,0.999919
439020,1,0.99992
439160,2,0.99992
439170,1,0.999921
439180,1,0.999921
439190,1,0.999921
439260,1,0.999921
439290,1,0.999922
439330,1,0.999922
439370,1,0.999922
439380,1,0.999923
439400,1,0.999923
439420,1,0.999923
439440,1,0.999924
439530,1,0.999924
439590,1,0.999924
439610,1,0.999925
439630,1,0.999925
439640,1,0.999925
439680,1,0.999925
439690,1,0.999926
439710,1,0.999926
439730,1,0.999926
439780,1,0.999927
439790,1,0.999927
439820,1,0.999927
439830,1,0.999928
439860,2,0.999928
439880,1,0.999928
439890,1,0.999929
439900,1,0.999929
439920,1,0.999929
440150,1,0.99993
440190,1,0.99993
440230,1,0.99993
440250,1,0.999931
440300,1,0.999931
440310,1,0.999931
440320,1,0.999932
440350,2,0.999932
440400,1,0.999932
440410,1,0.999933
440450,1,0.999933
440480,1,0.999933
440540,1,0.999934
440560,1,0.999934
440590,1,0.999934
440630,1,0.999935
440650,2,0.999935
440690,1,0.999935
440710,1,0.999936
440800,1,0.999936
440950,1,0.999936
440960,2,0.999937
440980,1,0.999937
441030,2,0.999938
441060,1,0.999938
441070,1,0.999938
441140,1,0.999939
441150,3,0.99994
441170,1,0.99994
441180,1,0.99994
441250,1,0.999941
441260,2,0.999941
441290,1,0.999942
441360,1,0.999942
441380,1,0.999942
441400,1,0.999942
441410,1,0.999943
441500,2,0.999943
441510,1,0.999944
441560,1,0.999944
441570,1,0.999944
441590,1,0.999945
441620,1,0.999945
441690,2,0.999946
441700,2,0.999946
441710,1,0.999946
441750,1,0.999947
441760,1,0.999947
441820,1,0.999947
441860,1,0.999948
441870,1,0.999948
441880,1,0.999948
441890,1,0.999949
441960,1,0.999949
441980,2,0.999949
441990,2,0.99995
442000,1,0.99995
442030,1,0.999951
442060,1,0.999951
442130,1,0.999951
442150,1,0.999952
442180,1,0.999952
442200,1,0.999952
442230,1,0.999952
442240,1,0.999953
442310,1,0.999953
442360,1,0.999953
442390,1,0.999954
442400,2,0.999954
442410,1,0.999955
442420,2,0.999955
442450,1,0.999956
442470,2,0.999956
442480,2,0.999957
442550,1,0.999957
442580,1,0.999957
442610,1,0.999958
442670,1,0.999958
442700,1,0.999958
442720,1,0.999959
442810,1,0.999959
442830,1,0.999959
442860,1,0.99996
442910,1,0.99996
442920,2,0.99996
442960,1,0.999961
443030,1,0.999961
443060,2,0.999962
443150,1,0.999962
443160,1,0.999962
443190,1,0.999963
443230,1,0.999963
443270,3,0.999964
443310,1,0.999964
443330,1,0.999964
443430,2,0.999965
443470,1,0.999965
443500,1,0.999966
443510,1,0.999966
443540,2,0.999967
443590,1,0.999967
443610,1,0.999967
443620,2,0.999968
443630,1,0.999968
443660,1,0.999968
443670,1,0.999969
443720,1,0.999969
443730,1,0.999969
443740,1,0.99997
443760,1,0.99997
443810,1,0.99997
443830,2,0.999971
443840,1,0.999971
443900,1,0.999971
443930,1,0.999972
443960,1,0.999972
443970,1,0.999972
444120,1,0.999973
444190,1,0.999973
444200,2,0.999974
444360,2,0.999974
444400,1,0.999974
444410,1,0.999975
444460,1,0.999975
444500,1,0.999975
444510,1,0.999976
444540,1,0.999976
444610,1,0.999976
444620,1,0.999977
444630,1,0.999977
444700,1,0.999977
444720,1,0.999977
444740,1,0.999978
444750,1,0.999978
444790,1,0.999978
444820,1,0.999979
444840,1,0.999979
444860,1,0.999979
445070,1,0.99998
445190,2,0.99998
445340,1,0.999981
445360,2,0.999981
445480,1,0.999981
445530,1,0.999982
445550,1,0.999982
445570,1,0.999982
445580,1,0.999983
445650,1,0.999983
445660,1,0.999983
445840,1,0.999984
445930,1,0.999984
445950,1,0.999984
446020,1,0.999985
446550,1,0.999985
446630,1,0.999985
446730,1,0.999985
446820,1,0.999986
446880,1,0.999986
446980,1,0.999986
447070,1,0.999987
447240,1,0.999987
447370,1,0.999987
447460,1,0.999988
447490,1,0.999988
447990,1,0.999988
448000,1,0.999988
448200,1,0.999989
448230,1,0.999989
448310,1,0.999989
448350,1,0.99999
448430,1,0.99999
448460,1,0.99999
448550,1,0.999991
448830,1,0.999991
449190,1,0.999991
449410,1,0.999991
449990,1,0.999992
450300,1,0.999992
450540,1,0.999992
450690,1,0.999993
450790,1,0.999993
450830,1,0.999993
450870,1,0.999994
450950,1,0.999994
451210,1,0.999994
451310,1,0.999995
451380,1,0.999995
451460,1,0.999995
451650,1,0.999995
452970,1,0.999996
453130,1,0.999996
453660,1,0.999996
453700,1,0.999997
454070,1,0.999997
454480,1,0.999997
454870,1,0.999998
455220,1,0.999998
456370,1,0.999998
456440,1,0.999998
456600,1,0.999999
456860,1,0.999999
457130,1,0.999999
457720,1,1
459150,1,1
